xxx,yyy
Déu[2440],Déu[511]
Déu[4887],Déu[907]
Déu[583],Déu[338]
Déu[1306],Déu[355]
Déu[966],Déu[69]
Déu[1040],Déu[813]
Déu[835],Déu[4332]
Déu[1145],Déu[4332]
Déu[1597],Déu[4332]
Déu[836],Déu[4332]
Déu[1188],Déu[4332]
Déu[1188],Déu[1759]
Déu[1188],Déu[2364]
Déu[1188],Déu[2655]
Déu[836],Déu[2655]
Déu[1597],Déu[2655]
Déu[1145],Déu[2655]
Déu[306],Déu[2655]
Déu[3556],Déu[2655]
Déu[359],Déu[2655]
Déu[130],Déu[2655]
Déu[6238],Déu[2655]
Déu[157],Déu[2530]
Déu[1174],Déu[4308]
Déu[1633],Déu[1949]
Déu[972],Déu[305]
Déu[2134],Déu[721]
Déu[600],Déu[1016]
Déu[1114],Déu[18]
Déu[854],Déu[52]
Déu[543],Déu[1759]
Déu[3850],Déu[4332]
Déu[32],Déu[813]
Déu[853],Déu[69]
Déu[601],Déu[268]
Déu[3766],Déu[268]
Déu[682],Déu[69]
Déu[854],Déu[2669]
Déu[1114],Déu[897]
Déu[600],Déu[4332]
Déu[2134],Déu[4332]
Déu[3796],Déu[4332]
Déu[630],Déu[813]
Déu[477],Déu[69]
Déu[275],Déu[355]
Déu[289],Déu[338]
Déu[2134],Déu[907]
Déu[1196],Déu[511]
Déu[535],Déu[1187]
Déu[884],Déu[3161]
Déu[646],Déu[713]
Déu[385],Déu[1196]
Déu[174],Déu[246]
Déu[65],Déu[3250]
Déu[287],Déu[657]
Déu[398],Déu[1173]
Déu[1114],Déu[601]
Déu[600],Déu[601]
Déu[2134],Déu[357]
Déu[83],Déu[657]
Déu[1059],Déu[3250]
Déu[4460],Déu[246]
Déu[441],Déu[1196]
Déu[313],Déu[713]
Déu[599],Déu[3161]
Déu[274],Déu[1187]
Déu[364],Déu[511]
Déu[503],Déu[907]
Déu[1417],Déu[338]
Déu[1092],Déu[355]
Déu[839],Déu[69]
Déu[615],Déu[813]
Déu[285],Déu[4332]
Déu[1174],Déu[4332]
Déu[157],Déu[4332]
Déu[6238],Déu[4332]
Déu[210],Déu[4332]
Déu[616],Déu[813]
Déu[1725],Déu[69]
Déu[1663],Déu[355]
Déu[370],Déu[338]
Déu[2927],Déu[907]
Déu[562],Déu[511]
Déu[90],Déu[1187]
Déu[367],Déu[3161]
Déu[240],Déu[713]
Déu[1005],Déu[1196]
Déu[1614],Déu[246]
Déu[1005],Déu[3250]
Déu[370],Déu[543]
Déu[359],Déu[1044]
Déu[3556],Déu[853]
Déu[306],Déu[3284]
Déu[1145],Déu[659]
Déu[105],Déu[1173]
Déu[677],Déu[657]
Déu[979],Déu[3250]
Déu[352],Déu[246]
Déu[356],Déu[1196]
Déu[3190],Déu[21]
Déu[305],Déu[21]
Déu[2202],Déu[1196]
Déu[124],Déu[246]
Déu[1597],Déu[2389]
Déu[1145],Déu[324]
Déu[653],Déu[246]
Déu[1287],Déu[1196]
Déu[4066],Déu[713]
Déu[4066],Déu[3161]
Déu[1550],Déu[1187]
